,name,rating,salary,reviews
501,Hyatt Regency,4.1,4.2k,5.5k
502,DIVI'S Laboratories,3.7,5.8k,60
503,Honeywell Technology Solutions,3.9,12.3k,28
504,Panasonic Life Solutions,4.1,4k,517
505,Angel One,3.9,7k,--
506,Google,4.4,14.2k,1.2k
507,Optum Global Solutions,4.1,7.8k,4.2k
508,USV,4.0,4.6k,26
509,Karvy Data Management Services,3.6,5.3k,2
510,SS&C TECHNOLOGIES,3.6,10.3k,659
511,Mother Dairy Fruit & Vegetable,4.2,4.8k,--
512,Adecco Group,3.8,6.2k,1.1k
513,24-7 Intouch,3.1,5.2k,5.8k
514,Arvind Group,4.1,5.9k,52
515,Matrimony.com,4.4,3.9k,--
516,USHA International,4.2,4.6k,445
517,Alstom Transportation,3.9,7.4k,--
518,Johnson & Johnson,4.2,5.9k,1.1k
519,KFintech,3.6,6.8k,12.3k
520,Mercedes-Benz Research & Development India,4.0,12.3k,1.1k
521,Honda Cars,4.3,6.4k,12.3k
522,Innovsource Services,4.0,4.3k,116
523,Samsung India Electronics,4.0,3.3k,15
524,Niva Bupa Health Insurance Company,3.7,5.6k,509
525,Jet Airways,4.6,5k,4
526,Torrent Power,3.8,6k,1.1k
527,Max Fashion,4.2,3.8k,6.4k
528,Aon,3.9,6.1k,41
529,Motherson Automotive Technologies and Engineering,4.0,6k,--
530,V-Guard Industries,4.4,3.3k,459
531,Verizon,4.2,10.5k,--
532,PI Industries,4.2,5.8k,1.1k
533,CitiusTech,3.6,10.3k,4.3k
534,Isgec Heavy Engineering,3.9,6.1k,35
535,DHL Express,4.1,5.7k,13
536,Chegg,4.3,3.4k,367
537,DHL Supply Chain,4.3,4.8k,--
538,Credit Suisse,4.2,14.4k,1.1k
539,HDFC Securities,3.6,5.2k,3.3k
540,Swaraj Tractors,4.2,4.4k,1.1k
541,First American Corporation,3.9,7.6k,4.4k
542,Planet Spark,3.7,1.9k,37
543,NTPC,4.3,3.9k,--
544,Medi Assist India,3.7,5.6k,461
545,Aforeserve,3.4,4.4k,8
546,Orange Business Services,4.3,8.5k,1.1k
547,Team Computers,3.7,7k,7.6k
548,Varroc Group,3.7,5.5k,49
549,Belrise Industries,3.8,6.4k,30
550,Tata Communications Transformation Services,4.1,7.9k,516
551,Kent RO Systems,3.6,4.8k,--
552,Dell EMC,4.2,11.4k,1.1k
553,Medanta the Medicity,4.2,4.2k,1.9k
554,Inox Leisure,4.1,4.4k,196
555,FactSet,4.0,8.4k,183
556,Jindal Saw,3.9,5.3k,281
557,Faurecia,4.0,6.4k,--
558,Hindustan Construction Company,4.2,3.9k,1.1k
559,FedEx Express,4.2,4k,3.9k
560,SBI Securities,3.8,4.7k,1.1k
561,Haier Appliances India,4.0,5.7k,4.7k
562,Emami,4.0,4.8k,92
563,Bharat Financial Inclusion,4.1,3.4k,128
564,Sony,4.4,4.7k,308
565,Dainik Bhaskar Group Of Publication,4.0,5.1k,1
566,Allstate,4.1,8.5k,1.1k
567,L&T Energy Hydrocarbon,3.8,6.5k,5.7k
568,Trent,4.0,4k,65
569,Mercer,3.9,8.9k,2
570,Saint-Gobain,4.0,7.7k,446
571,Marriott International,4.2,5.3k,--
572,SRL Diagnostics,4.1,4k,1k
